Crossnumber,Repeat_Pollination_Date,Location
SE202010_(243636C1/242999),2020-10-06,Kawanda
SE202010_(243772C1/242999),2020-10-06,Kawanda
SE202010_(243365C1/243057),2020-10-06,Kawanda
SE202010_(243630C1/243057),2020-10-06,Kawanda
SE202010_(243965C1/242999),2020-10-06,Kawanda
SE202010_(244324C1/242999),2020-10-06,Kawanda
SE202010_(244044C1/242999),2020-10-06,Kawanda
SE202010_(242392C1/242850),2020-10-07,Kawanda
SE202010_(242328C1/242850),2020-10-07,Kawanda
SE202010_(243622C1/242999),2020-10-07,Kawanda
SE202010_(243513C1/242896),2020-10-07,Kawanda
SE202010_(244004C2/242996),2020-09-24,Kawanda
SE202010_(243636C1/242999),2020-10-07,Kawanda
SE202010_(243630C1/243057),2020-10-07,Kawanda
SE202010_(243365C1/243057),2020-10-07,Kawanda
SE202010_(244324C1/242999),2020-10-07,Kawanda
SE202010_(243965C1/242999),2020-10-07,Kawanda
SE202010_(244044C1/242999),2020-10-07,Kawanda
SE202010_(242445C1/243074),2020-10-07,Kawanda
SE202010_(244004C2/242996),2020-09-25,Kawanda
SE202010_(243513C1/242896),2020-10-08,Kawanda
SE202010_(243622C1/242999),2020-10-08,Kawanda
SE202010_(243588C1/242999),2020-10-08,Kawanda
SE202010_(243437C1/242999),2020-10-08,Kawanda
SE202010_(243630C1/243057),2020-10-08,Kawanda
SE202010_(243365C1/243057),2020-10-08,Kawanda
SE202010_(243965C1/242999),2020-10-08,Kawanda
SE202010_(244324C1/242999),2020-10-08,Kawanda
SE202010_(244141C1/242999),2020-10-08,Kawanda
SE202010_(244191C1/242999),2020-10-08,Kawanda
SE202010_(242445C1/243074),2020-10-08,Kawanda
SE202010_(243622C1/242999),2020-10-09,Kawanda
SE202010_(244004C2/242996),2020-09-26,Kawanda
SE202010_(244141C1/242999),2020-10-09,Kawanda
SE202010_(244191C1/242999),2020-10-09,Kawanda
SE202010_(243965C1/242999),2020-10-09,Kawanda
SE202010_(244324C1/242999),2020-10-09,Kawanda
SE202010_(243365C1/243057),2020-10-09,Kawanda
SE202010_(243630C1/243057),2020-10-09,Kawanda
SE202010_(243437C1/242999),2020-10-09,Kawanda
SE202010_(243588C1/242999),2020-10-09,Kawanda
SE202010_(242396C1/243074),2020-10-10,Kawanda
SE202010_(242325C1/242996),2020-10-10,Kawanda
SE202010_(242412C1/242996),2020-10-10,Kawanda
SE202010_(244191C1/242999),2020-10-10,Kawanda
SE202010_(244141C1/242999),2020-10-10,Kawanda
SE202010_(243965C1/242999),2020-10-10,Kawanda
SE202010_(244324C1/242999),2020-10-10,Kawanda
SE202010_(243588C1/242999),2020-10-10,Kawanda
SE202010_(243498C1/242999),2020-10-10,Kawanda
SE202010_(243437C1/242999),2020-10-10,Kawanda
SE202010_(243766C1/242999),2020-10-10,Kawanda
SE202010_(243630C1/243057),2020-10-10,Kawanda
SE202010_(243365C1/243057),2020-10-10,Kawanda
SE202010_(243622C1/242999),2020-10-10,Kawanda
SE202010_(242842C1/243051),2020-10-10,Kawanda
SE202010_(242960C1/243051),2020-10-10,Kawanda
SE202010_(243022C1/242864),2020-10-10,Kawanda
SE202010_(242396C1/243074),2020-10-11,Kawanda
SE202010_(242325C1/242996),2020-10-11,Kawanda
SE202010_(242412C1/242996),2020-10-11,Kawanda
SE202010_(244254C1/244322),2020-10-11,Kawanda
SE202010_(240184C1/242855),2020-10-11,Kawanda
SE202010_(242842C1/243051),2020-10-11,Kawanda
SE202010_(242960C1/243051),2020-10-11,Kawanda
SE202010_(243022C1/242864),2020-10-11,Kawanda
SE202010_(243588C1/242999),2020-10-11,Kawanda
SE202010_(243498C1/242999),2020-10-11,Kawanda
SE202010_(243437C1/242999),2020-10-11,Kawanda
SE202010_(243766C1/242999),2020-10-11,Kawanda
SE202010_(244141C1/242999),2020-10-11,Kawanda
SE202010_(244191C1/242999),2020-10-11,Kawanda
SE202010_(242325C1/242996),2020-10-12,Kawanda
SE202010_(242396C1/243074),2020-10-12,Kawanda
SE202010_(244254C1/244322),2020-10-12,Kawanda
SE202010_(240184C1/242855),2020-10-12,Kawanda
SE202010_(242436C1/243074),2020-10-11,Kawanda
SE202010_(242436C1/243074),2020-10-12,Kawanda
SE202010_(243498C1/242999),2020-10-12,Kawanda
SE202010_(244191C1/242999),2020-10-12,Kawanda
SE202010_(244141C1/242999),2020-10-12,Kawanda
SE202010_(243766C1/242999),2020-10-12,Kawanda
SE202010_(243437C1/242999),2020-10-12,Kawanda
SE202010_(243588C1/242999),2020-10-12,Kawanda
SE202010_(242842C1/243051),2020-10-12,Kawanda
SE202010_(242960C1/243051),2020-10-12,Kawanda
SE202010_(243022C1/242864),2020-10-12,Kawanda
SE202010_(243022C1/242864),2020-10-13,Kawanda
SE202010_(240184C1/242855),2020-10-13,Kawanda
SE202010_(244254C1/244322),2020-10-13,Kawanda
SE202010_(242388C1/242996),2020-10-13,Kawanda
SE202010_(243498C1/242999),2020-10-13,Kawanda
SE202010_(243464C1/242999),2020-10-13,Kawanda
SE202010_(243766C1/242999),2020-10-13,Kawanda
SE202010_(243357C1/243057),2020-10-13,Kawanda
SE202010_(243822C1/243057),2020-10-13,Kawanda
SE202010_(242960C1/243051),2020-10-13,Kawanda
SE202010_(242842C1/243051),2020-10-13,Kawanda
SE202010_(243674C2/242896),2020-10-13,Kawanda
SE202010_(244254C1/244322),2020-10-14,Kawanda
SE202010_(243377C2/243057),2020-10-14,Kawanda
SE202010_(243464C1/242999),2020-10-14,Kawanda
SE202010_(243498C1/242999),2020-10-14,Kawanda
SE202010_(243587C1/243057),2020-10-14,Kawanda
SE202010_(243766C1/242999),2020-10-14,Kawanda
SE202010_(243357C1/243057),2020-10-14,Kawanda
SE202010_(243822C1/243057),2020-10-14,Kawanda
SE202010_(242340C1/242996),2020-10-14,Kawanda
SE202010_(242436C2/243074),2020-10-14,Kawanda
SE202010_(243674C2/242896),2020-10-14,Kawanda
SE202010_(242842C1/243051),2020-10-14,Kawanda
SE202010_(242835C1/243059),2020-10-14,Kawanda
SE202010_(242960C1/243051),2020-10-14,Kawanda
SE202010_(243918C1/242996),2020-10-15,Kawanda
SE202010_(242340C1/242996),2020-10-15,Kawanda
SE202010_(242555C1/242996),2020-10-15,Kawanda
SE202010_(242436C2/243074),2020-10-15,Kawanda
SE202010_(242835C1/243059),2020-10-15,Kawanda
SE202010_(243464C1/242999),2020-10-15,Kawanda
SE202010_(243377C2/243057),2020-10-15,Kawanda
SE202010_(243587C1/243057),2020-10-15,Kawanda
SE202010_(243357C1/243057),2020-10-15,Kawanda
SE202010_(243822C1/243057),2020-10-15,Kawanda
SE202010_(243918C1/242996),2020-10-16,Kawanda
SE202010_(242835C1/243059),2020-10-16,Kawanda
SE202010_(242555C1/242996),2020-10-16,Kawanda
SE202010_(242436C2/243074),2020-10-16,Kawanda
SE202010_(243377C2/243057),2020-10-16,Kawanda
SE202010_(243464C1/242999),2020-10-16,Kawanda
SE202010_(243587C1/243057),2020-10-16,Kawanda
SE202010_(243357C1/243057),2020-10-16,Kawanda
SE202010_(243822C1/243057),2020-10-16,Kawanda
SE202010_(242835C1/243059),2020-10-17,Kawanda
SE202010_(243918C1/242996),2020-10-17,Kawanda
SE202010_(240064C1/242855),2020-10-17,Kawanda
SE202010_(242365C1/242850),2020-10-17,Kawanda
SE202010_(242555C1/242996),2020-10-17,Kawanda
SE202010_(242436C2/243074),2020-10-17,Kawanda
SE202010_(243377C2/243057),2020-10-17,Kawanda
SE202010_(243790C1/243057),2020-10-17,Kawanda
SE202010_(243587C1/243057),2020-10-17,Kawanda
SE202010_(244384C1/242999),2020-10-17,Kawanda
SE202010_(244231C2/242999),2020-10-17,Kawanda
SE202010_(242835C1/243059),2020-10-18,Kawanda
SE202010_(243790C1/243057),2020-10-18,Kawanda
SE202010_(243587C1/243057),2020-10-18,Kawanda
SE202010_(244384C1/242999),2020-10-18,Kawanda
SE202010_(244231C2/242999),2020-10-18,Kawanda
SE202010_(243918C1/242996),2020-10-18,Kawanda
SE202010_(240064C1/242855),2020-10-18,Kawanda
SE202010_(240064C1/242855),2020-10-19,Kawanda
SE202010_(243790C1/243057),2020-10-19,Kawanda
