Crossnumber,Repeat_Pollination_Date,Location
NM201907_(136487C3/161500),2019-07-12,Arusha
NM201907_(136683C2/161584),2019-07-16,Arusha
NM201907_(136660C2/161554),2019-07-16,Arusha
NM201907_(136683C2/161584),2019-07-17,Arusha
NM201907_(136518C2/161503),2019-07-18,Arusha
NM201907_(136660C2/161554),2019-07-19,Arusha
NM201907_(136416C2/161503),2019-07-22,Arusha
NM201907_(136416C2/161503),2019-07-23,Arusha
NM201907_(153026C1/161500),2019-07-25,Arusha
NM201907_(153026C1/161500),2019-07-26,Arusha
NM201907_(153026C1/161500),2019-07-29,Arusha
NM201907_(136345C2/161500),2019-07-31,Arusha
NM201907_(136680C3/161503),2019-08-01,Arusha
NM201907_(136680C3/161503),2019-08-02,Arusha
NM201908_(136360C2/161503),2019-08-06,Arusha
NM201907_(136680C3/161503),2019-08-07,Arusha
NM201908_(136607C2/161584),2019-08-09,Arusha
NM201908_(136491C2/161503),2019-08-13,Arusha
NM201908_(136430C2/161500),2019-08-14,Arusha
NM201908_(152786C1/161503),2019-08-21,Arusha
NM201908_(152897C1/161541),2019-08-22,Arusha
NM201908_(152897C1/161541),2019-08-23,Arusha
NM201908_(136548C2/161554),2019-08-27,Arusha
NM201908_(136548C2/161554),2019-08-28,Arusha
NM201908_(136475C2/161503),2019-08-29,Arusha
NM201908_(136548C2/161554),2019-08-30,Arusha
NM201908_(136475C2/161503),2019-09-02,Arusha
NM201908_(136673C2/161554),2019-09-03,Arusha
NM201908_(136673C2/161554),2019-09-04,Arusha
NM201909_(152766C1/161541),2019-09-05,Arusha
NM201909_(136711C2/161503),2019-09-06,Arusha
NM201909_(136711C2/161503),2019-09-09,Arusha
NM201909_(136288C2/161503),2019-09-12,Arusha
NM201909_(136676C2/161541),2019-09-13,Arusha
NM201909_(136713C2/161584),2019-09-17,Arusha
NM201909_(136288C2/161503),2019-09-18,Arusha
NM201909_(136713C2/161584),2019-09-19,Arusha
NM201909_(136713C2/161584),2019-09-20,Arusha
NM201909_(136658C2/161584),2019-09-25,Arusha
NM201910_(190381C1/161541),2019-10-02,Arusha
NM201910_(152513C2/161554),2019-10-03,Arusha
NM201909_(136374C2/161503),2019-10-04,Arusha
NM201909_(136309C3/161541),2019-10-09,Arusha
NM201910_(136540C2/161541),2019-10-10,Arusha
NM201910_(153020C2/161421),2019-10-25,Arusha
NM201910_(152933C1/161480),2019-10-28,Arusha
NM201910_(152933C1/161480),2019-10-29,Arusha
NM201910_(153156C1/161480),2019-10-30,Arusha
NM201910_(136521C3/161584),2019-10-31,Arusha
NM201910_(190480C1/161472),2019-11-01,Arusha
NM201910_(136521C3/161584),2019-11-04,Arusha
NM201910_(136560C3/161584),2019-11-05,Arusha
NM201910_(153086C2/161480),2019-11-05,Arusha
NM201910_(136560C3/161584),2019-11-06,Arusha
NM201911_(190236C1/161480),2019-11-08,Arusha
NM201910_(136521C3/161584),2019-11-11,Arusha
NM201911_(152695C2/161480),2019-11-11,Arusha
NM201911_(152405C2/161421),2019-11-13,Arusha
NM201911_(136602C3/161500),2019-11-12,Arusha
NM201911_(152695C2/161480),2019-11-14,Arusha
NM201911_(136287C2/161480),2019-11-18,Arusha
NM201911_(152995C2/161480),2019-11-19,Arusha
NM201911_(136310C3/161500),2019-11-21,Arusha
NM201911_(136310C3/161500),2019-11-22,Arusha
NM201911_(136586C3/161554),2019-11-27,Arusha
NM201911_(136294C3/161500),2019-11-28,Arusha
NM201911_(152695C2/161480),2019-11-15,Arusha
NM201911_(136586C3/161554),2019-12-03,Arusha
NM201911_(136586C3/161554),2019-12-04,Arusha
NM201912_(136554C3/161480),2019-12-11,Arusha
NM201912_(190454C1/161555),2019-12-24,Arusha
NM201912_(136681C3/161433),2019-12-27,Arusha
NM201912_(190454C1/161555),2019-12-30,Arusha
NM201912_(190687C1/161413),2019-12-31,Arusha
NM201912_(190226C1/161405),2020-01-03,Arusha
NM202001_(152427C2/161554),2020-01-06,Arusha
NM202001_(152945C2/161567),2020-01-09,Arusha
NM202001_(152802C2/161480),2020-01-09,Arusha
NM202001_(152427C2/161554),2020-01-10,Arusha
NM202001_(136555C3/161424),2020-01-14,Arusha
NM202001_(136644C3/161582),2020-01-15,Arusha
NM202001_(136338C2/161554),2020-01-16,Arusha
NM202001_(136338C2/161554),2020-01-17,Arusha
NM202001_(153083C2/161554),2020-01-20,Arusha
NM202001_(153083C2/161554),2020-01-21,Arusha
NM202001_(153119C2/161468),2020-01-23,Arusha
NM202001_(153119C2/161468),2020-01-24,Arusha
NM202001_(136583C2/161541),2020-02-03,Arusha
NM202002_(152711C2/161536),2020-02-04,Arusha
NM202001_(136289C3/161487),2020-02-05,Arusha
NM202002_(190433C2/161536),2020-02-06,Arusha
NM202002_(190433C2/161536),2020-02-07,Arusha
NM202002_(153107C2/161584),2020-02-11,Arusha
NM202002_(153107C2/161584),2020-02-12,Arusha
NM202002_(153107C2/161584),2020-02-13,Arusha
NM202002_(153107C2/161584),2020-02-14,Arusha
NM202002_(136714C3/161571),2020-02-17,Arusha
NM202002_(136426C3/161446),2020-02-18,Arusha
NM202002_(136721C3/161477),2020-02-20,Arusha
NM202002_(136576C2/161477),2020-02-24,Arusha
NM202002_(190547C2/161554),2020-02-25,Arusha
NM202002_(190547C2/161554),2020-02-26,Arusha
NM202002_(190481C1/161478),2020-03-02,Arusha
NM202003_(190375C1/161462),2020-03-04,Arusha
NM202003_(136648C3/161480),2020-03-11,Arusha
NM202003_(152533C2/161480),2020-03-12,Arusha
NM202003_(152976C2/161419),2020-03-13,Arusha
NM202003_(136605C2/161534),2020-03-23,Arusha
NM202003_(136350C3/161534),2020-03-24,Arusha
NM202003_(136532C3/161536),2020-03-25,Arusha
NM202003_(136532C3/161536),2020-03-26,Arusha
NM202003_(152952C2/161462),2020-03-27,Arusha
NM202005_(190221C1/161478),2020-05-21,Arusha
NM202005_(136703C3/161541),2020-05-22,Arusha
