Location,Crossnumber,FemalePlotName,Mother,Cycle,Father,MalePlotName,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Embryo_Rescue_Date,Number_of_Embryo_Rescued,Good_Seeds,Number_of_Embryo_Germinating,Germination_Date
Kawanda,SE202011_(240132C1/242875),enz-r9-c6,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-12 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240139C1/242875),enz-r2-c1,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-08 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240148C1/242875),enz-r8-c8,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-12 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240149C1/242875),enz-r4-c15,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-23 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240179C1/242875),enz-r7-c2,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-04 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240268C1/242875),enz-r1-c6,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242310C1/243074),Bitambi-R-6-C-7,Bitambi,1,2905,2905-R-2--C-24,2020-11-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242343C1/242829),Nakawere-R-3-C-10,Nakawere,1,2905,2905-R-2--C-22,2020-11-23 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242386C1/242829),Kabucuragye-R-6-C-20,Kabucuragye,1,2905,2905-R-2--C-22,2020-11-20 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242392C2/242850),Nakawere-R-8-C-11,Nakawere,2,2905,2905-R-2--C-23,2020-11-10 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242458C1/242850),Namande-R-4-C-3,Namande,1,2905,2905-R-2--C-23,2020-11-02 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242465C1/242850),Kabucuragye-R-6-C-21,Kabucuragye,1,2905,2905-R-2--C-23,2020-11-18 00:00:00+00:00,,,,,,,,
