FlowerID,Genotype,Plant_Sex,Flowering_Date,Location
Nakyetengu_14_Phase2_R9C8,IITA-Nakyetengu,female,2019-02-09,Sendusu
Nakyetengu_14_Phase2_R8C10,IITA-Nakyetengu,female,2019-02-09,Sendusu
Entukura_14_Phase2_R5C6,Entukura,female,2019-02-09,Sendusu
Enzirabahima_14_Phase2_R27C1,ITC1354,female,2019-02-12,Sendusu
Entukura_16_Phase3_R6C1,Entukura,female,2019-02-09,Sendusu
Tereza_16_Phase3_R16C5,Tereza,female,2019-02-06,Sendusu
Tereza_16_Phase3_R17C7,Tereza,female,2019-02-07,Sendusu
Tereza_16_Phase3_R17C10,Tereza,female,2019-02-09,Sendusu
Tereza_16_Phase3_R18C2,Tereza,female,2019-02-06,Sendusu
Kabucuragye_16_Phase3_R20C9,Kabucuragye,female,2019-02-11,Sendusu
29275S-1_14_R7P3,29275S-1,female,2019-02-13,Sendusu
25974S-17_14_R4P1,25974S-17,female,2019-02-13,Sendusu
Kazirakwe_14_Phase1_R30C7,ITC1355,female,2019-02-13,Sendusu
Kabucuragye_16_Phase3_R19C5,Kabucuragye,female,2019-02-14,Sendusu
29275S-1_14_R8P1,29275S-1,female,2019-02-14,Sendusu
29275S-1_14_R8P8,29275S-1,female,2019-02-13,Sendusu
25974S-17_14_R5P1,25974S-17,female,2019-02-07,Sendusu
29275S-4_14_R2P2,29275S-4,female,2019-02-14,Sendusu
Nakyetengu_14_Phase1_R7C3,IITA-Nakyetengu,female,2019-02-18,Sendusu
Nfuuka_14_Phase1_R13C2,Nfuuka,female,2019-02-15,Sendusu
Nfuuka_14_Phase1_R13C15,Nfuuka,female,2019-02-19,Sendusu
Nfuuka_14_Phase1_R14C15,Nfuuka,female,2019-02-18,Sendusu
Tereza_14_Phase1_R16C5,Tereza,female,2019-02-15,Sendusu
Tereza_14_Phase1_R18C15,Tereza,female,2019-02-15,Sendusu
Entukura_16_Phase3_R5C7,Entukura,female,2019-02-16,Sendusu
Kabucuragye_16_Phase3_R19C5,Kabucuragye,female,2019-02-16,Sendusu
Enzirabahima_16_Phase3_R27C1,ITC1354,female,2019-02-16,Sendusu
Nakasabira_16_Phase3_R31C2,Nakasabira,female,2019-02-18,Sendusu
