FlowerID,Genotype,Plant_Sex,Flowering_Date,Location
IITA-Nakyetengu-r4-c32,IITA-Nakyetengu,female,2020-11-04,Kawanda
1747K-1-r7-c3,1747K-1,female,2020-11-04,Kawanda
1201K-r1-c15,1201K-1,female,2020-11-04,Kawanda
enz-r5-c10,ITC1354-Enzirabahima,female,2020-11-05,Kawanda
376K-1-r4-c22,376K-1,female,2020-11-05,Kawanda
1747K-1-r1-c3,1747K-1,female,2020-11-05,Kawanda
1747K-1-r6-c3,1747K-1,female,2020-11-06,Kawanda
401K-1-R-7--C-4,401K-1,female,2020-11-06,Kawanda
Nakawere-r6-c40,Nakawere,female,2020-11-07,Kawanda
Namande-r3-c49,Namande,female,2020-11-07,Kawanda
enz-r2-c1,ITC1354-Enzirabahima,female,2020-11-07,Kawanda
917K-2-R-5--C-51,917K-2,female,2020-11-07,Kawanda
401K-1-R-7--C-62,401K-1,female,2020-11-07,Kawanda
enz-r8-c8,ITC1354-Enzirabahima,female,2020-11-08,Kawanda
Nabio1117-R-2--C-57,Nabio1117,female,2020-11-08,Kawanda
Nakawere-R-8-C-11,Nakawere,male,2020-11-07,Kawanda
IITA-Nakyetengu-r3-c35,IITA-Nakyetengu,female,2020-11-09,Kawanda
enz-r3-c9,ITC1354-Enzirabahima,female,2020-11-09,Kawanda
Bitambi-R-1-C-5,Bitambi,male,2020-11-09,Kawanda
660K-1-R-3--C-37,660K-1,female,2020-11-09,Kawanda
401K-1-r2-c26,401K-1,female,2020-11-09,Kawanda
401K-1-R-5--C-63,401K-1,female,2020-11-10,Kawanda
enz-r9-c6,ITC1354-Enzirabahima,female,2020-11-10,Kawanda
IITA-Nakyetengu-r3-c35,IITA-Nakyetengu,female,2020-11-10,Kawanda
Rwambarara+R7-c63,Rwambarara,female,2020-11-10,Kawanda
222K-1-R-4--C-17,222K-1,female,2020-11-10,Kawanda
660K-1-R-4--C-9,660K-1,female,2020-11-10,Kawanda
Nakawere-R-7-C-14,Nakawere,female,2020-11-11,Kawanda
660K-1-R-7--C-37,660K-1,female,2020-11-11,Kawanda
Nabio1117-R-1--C-56,Nabio1117,female,2020-11-12,Kawanda
IITA-Nakyetengu-r7-c33,IITA-Nakyetengu,female,2020-11-12,Kawanda
Nakawere-R-6-C-8,Nakawere,female,2020-11-12,Kawanda
Nakawere-R-7-C-14,Nakawere,female,2020-11-12,Kawanda
Enzirabahima-r3-c52,ITC1354-Enzirabahima,female,2020-11-13,Kawanda
1411K-1-R-2--C-58,1411K-1,female,2020-11-13,Kawanda
222K-1-r6-c9,222K-1,female,2020-11-13,Kawanda
Namande-R-8-C-4,Namande,female,2020-11-14,Kawanda
1201K-1-R-8--C-47,1201K-1,female,2020-11-14,Kawanda
enz-r1-c6,ITC1354-Enzirabahima,female,2020-11-15,Kawanda
Kabucuragye-R-6-C-21,Kabucuragye,female,2020-11-15,Kawanda
1747K-1-r1-c1,1747K-1,female,2020-11-15,Kawanda
1201K-1-R-9--C-18,1201K-1,female,2020-11-15,Kawanda
376K-1-R-8--C-9,376K-1,female,2020-11-15,Kawanda
401K-1-R-8--C-7,401K-1,female,2020-11-15,Kawanda
401K-1-R-9--C-4,401K-1,female,2020-11-15,Kawanda
401K-1-R-6--C-2,401K-1,female,2020-11-15,Kawanda
Nakawere-r6-c39,Nakawere,female,2020-11-16,Kawanda
enz-r7-c8,ITC1354-Enzirabahima,female,2020-11-16,Kawanda
376K-1-r7-c23,376K-1,female,2020-11-16,Kawanda
401K-1-R-7--C-41,401K-1,female,2020-11-16,Kawanda
401K-1-R-5--C-41,401K-1,female,2020-11-16,Kawanda
401K-1-R-4--C-41,401K-1,female,2020-11-16,Kawanda
IITA-Nakyetengu-R-1-C-24,IITA-Nakyetengu,female,2020-11-17,Kawanda
Kabucuragye-R-6-C-21,Kabucuragye,female,2020-11-17,Kawanda
Bitambi-R-6-C-7,Bitambi,female,2020-11-17,Kawanda
enz-r3-c2,ITC1354-Enzirabahima,female,2020-11-17,Kawanda
Bitambi-R-6-C-7,Bitambi,female,2020-11-18,Kawanda
Kabucuragye-R-6-C-20,Kabucuragye,female,2020-11-18,Kawanda
376K-1-r3-c24,376K-1,female,2020-11-18,Kawanda
enz-r4-c15,ITC1354-Enzirabahima,female,2020-11-19,Kawanda
IITA-Nakyetengu-R-1-C-24,IITA-Nakyetengu,female,2020-11-19,Kawanda
Namande-R-1-C-2,Namande,female,2020-11-20,Kawanda
Nakawere-R-3-C-10,Nakawere,female,2020-11-20,Kawanda
1201K-r5-c13,1201K-1,female,2020-11-20,Kawanda
1411K-1-R-8--C-58,1411K-1,female,2020-11-20,Kawanda
246K-1-R-5--C-48,246K-1,female,2020-11-20,Kawanda
1411K-1-R-6--C-60,1411K-1,female,2020-11-21,Kawanda
199K-3-R-7--C-53,199K-3,female,2020-11-21,Kawanda
enz-r1-c12,ITC1354-Enzirabahima,female,2020-11-23,Kawanda
917K-1-R-4--C-4,917K-1,female,2020-11-23,Kawanda
660K-1-R-2--C-10,660K-1,female,2020-11-23,Kawanda
376K-1-R-8--C-8,376K-1,female,2020-11-23,Kawanda
1411K-1-R-1--C-45,1411K-1,female,2020-11-24,Kawanda
Namande-r6-c46,Namande,female,2020-11-24,Kawanda
660K-1-R-3--C-37,660K-1,female,2020-11-25,Kawanda
1201K-r7-c15,1201K-1,female,2020-11-26,Kawanda
365K-1-r7-c18,365K-1,female,2020-11-26,Kawanda
401K-1-r7-c25,401K-1,female,2020-11-26,Kawanda
917K-1-R-2--C-7,917K-1,female,2020-11-26,Kawanda
Nakawere-R-3-C-9,Nakawere,female,2020-11-27,Kawanda
660K-1-r1-c8,660K-1,female,2020-11-27,Kawanda
